run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,
General-95-20210519-11:43:36-23622,runattr,,,seedset,95,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,configname,General,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,datetime,20210519-11:43:37,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,experiment,General,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,inifile,omnetpp.ini,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,iterationvars,,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,iterationvarsf,,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,measurement,,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,network,EarthquakeDetector,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,processid,23632,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,repetition,97,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,replication,#97,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,resultdir,results,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,runnumber,97,,,,,,,
General-97-20210519-11:43:37-23632,runattr,,,seedset,97,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,configname,General,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,datetime,20210519-11:43:36,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,experiment,General,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,inifile,omnetpp.ini,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,iterationvars,,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,iterationvarsf,,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,measurement,,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,network,EarthquakeDetector,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,processid,23627,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,repetition,96,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,replication,#96,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,resultdir,results,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,runnumber,96,,,,,,,
General-96-20210519-11:43:36-23627,runattr,,,seedset,96,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,configname,General,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,datetime,20210519-11:43:17,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,experiment,General,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,inifile,omnetpp.ini,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,iterationvars,,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,iterationvarsf,,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,measurement,,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,network,EarthquakeDetector,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,processid,23430,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,repetition,60,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,replication,#60,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,resultdir,results,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,runnumber,60,,,,,,,
General-60-20210519-11:43:17-23430,runattr,,,seedset,60,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,configname,General,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,datetime,20210519-11:43:18,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,experiment,General,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,inifile,omnetpp.ini,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,iterationvars,,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,iterationvarsf,,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,measurement,,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,network,EarthquakeDetector,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,processid,23441,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,repetition,62,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,replication,#62,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,resultdir,results,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,runnumber,62,,,,,,,
General-62-20210519-11:43:18-23441,runattr,,,seedset,62,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,configname,General,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,datetime,20210519-11:43:18,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,experiment,General,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,inifile,omnetpp.ini,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,iterationvars,,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,iterationvarsf,,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,measurement,,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,network,EarthquakeDetector,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,processid,23436,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,repetition,61,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,replication,#61,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,resultdir,results,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,runnumber,61,,,,,,,
General-61-20210519-11:43:18-23436,runattr,,,seedset,61,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,configname,General,,,,,,,
