run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-29-20210518-20:53:03-21535,runattr,,,runnumber,29,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,seedset,29,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,configname,General,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,datetime,20210518-20:51:49,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,experiment,General,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,iterationvars,,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,iterationvarsf,,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,measurement,,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,network,EarthquakeDetector,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,processid,20961,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,repetition,12,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,replication,#12,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,resultdir,results,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,runnumber,12,,,,,,,,
General-12-20210518-20:51:49-20961,runattr,,,seedset,12,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,configname,General,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,datetime,20210518-20:51:52,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,experiment,General,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,iterationvars,,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,iterationvarsf,,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,measurement,,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,network,EarthquakeDetector,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,processid,20997,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,repetition,13,,,,,,,,
